Time,CO2_Concentration_ppm
2024-09-03 04:29:35,391
2024-09-03 04:30:57,388
2024-09-03 04:31:57,393
2024-09-03 04:33:13,393
2024-09-03 04:34:13,388
2024-09-03 04:34:49,393
2024-09-03 04:35:59,392
2024-09-03 04:36:40,389
2024-09-03 04:38:27,389
2024-09-03 04:39:24,392
2024-09-03 04:39:57,390
2024-09-03 04:40:54,395
2024-09-03 04:42:08,394
2024-09-03 04:43:02,393
2024-09-03 04:43:30,392
2024-09-03 04:45:26,394
2024-09-03 04:45:56,393
2024-09-03 04:47:26,392
2024-09-03 04:48:21,390
2024-09-03 04:48:42,398
2024-09-03 04:50:10,389
2024-09-03 04:50:32,391
2024-09-03 04:52:08,389
2024-09-03 04:52:35,393
2024-09-03 04:53:37,392
2024-09-03 04:54:56,393
2024-09-03 04:55:38,388
2024-09-03 04:57:06,393
2024-09-03 04:58:02,389
2024-09-03 04:59:20,391
2024-09-03 05:00:11,393
2024-09-03 05:01:13,392
2024-09-03 05:01:53,392
2024-09-03 05:02:44,393
2024-09-03 05:04:28,392
2024-09-03 05:05:23,390
2024-09-03 05:06:01,391
2024-09-03 05:07:01,391
2024-09-03 05:07:53,389
2024-09-03 05:09:10,393
2024-09-03 05:10:21,392
2024-09-03 05:11:18,391
2024-09-03 05:12:18,393
2024-09-03 05:13:27,391
2024-09-03 05:14:21,391
2024-09-03 05:14:41,390
2024-09-03 05:16:08,392
2024-09-03 05:16:31,392
2024-09-03 05:17:32,390
2024-09-03 05:19:18,392
2024-09-03 05:20:06,390
2024-09-03 05:21:18,390
2024-09-03 05:22:25,388
2024-09-03 05:22:46,391
2024-09-03 05:24:28,388
2024-09-03 05:25:18,390
2024-09-03 05:25:31,390
2024-09-03 05:26:31,392
2024-09-03 05:27:57,388
2024-09-03 05:29:23,388
2024-09-03 05:29:52,390
2024-09-03 05:31:06,390
2024-09-03 05:32:01,394
2024-09-03 05:33:02,389
2024-09-03 05:33:30,389
2024-09-03 05:34:48,392
2024-09-03 05:35:31,392
2024-09-03 05:37:22,389
2024-09-03 05:38:13,387
2024-09-03 05:38:55,391
2024-09-03 05:40:01,394
2024-09-03 05:40:35,392
2024-09-03 05:42:01,391
2024-09-03 05:43:24,389
2024-09-03 05:43:33,388
2024-09-03 05:45:24,390
2024-09-03 05:45:40,387
2024-09-03 05:47:25,392
2024-09-03 05:48:28,388
2024-09-03 05:48:46,390
2024-09-03 05:50:07,386
2024-09-03 05:50:53,389
2024-09-03 05:51:34,388
2024-09-03 05:53:21,385
2024-09-03 05:54:03,391
2024-09-03 05:54:35,393
2024-09-03 05:55:51,393
2024-09-03 05:56:40,392
2024-09-03 05:58:17,390
2024-09-03 05:58:45,393
2024-09-03 06:00:02,393
2024-09-03 06:00:38,391
2024-09-03 06:02:29,389
2024-09-03 06:03:28,390
2024-09-03 06:03:35,394
2024-09-03 06:04:45,391
2024-09-03 06:05:58,384
2024-09-03 06:06:32,388
2024-09-03 06:07:49,390
2024-09-03 06:09:29,393
2024-09-03 06:10:28,390
2024-09-03 06:11:05,393
2024-09-03 06:11:48,390
2024-09-03 06:12:55,387
2024-09-03 06:13:32,390
2024-09-03 06:14:48,391
2024-09-03 06:15:49,391
2024-09-03 06:17:01,387
2024-09-03 06:17:36,390
2024-09-03 06:19:21,396
2024-09-03 06:20:10,389
2024-09-03 06:21:02,392
2024-09-03 06:22:09,388
2024-09-03 06:23:08,394
2024-09-03 06:23:47,390
2024-09-03 06:25:09,393
2024-09-03 06:25:30,390
2024-09-03 06:26:40,394
2024-09-03 06:27:57,392
2024-09-03 06:29:26,393
2024-09-03 06:29:54,395
2024-09-03 06:31:19,394
2024-09-03 06:31:52,396
2024-09-03 06:33:00,396
2024-09-03 06:33:59,396
2024-09-03 06:35:11,397
2024-09-03 06:36:04,396
2024-09-03 06:36:36,395
2024-09-03 06:38:29,396
2024-09-03 06:38:45,399
2024-09-03 06:39:55,398
2024-09-03 06:41:17,396
2024-09-03 06:42:26,400
2024-09-03 06:43:21,401
2024-09-03 06:44:29,402
2024-09-03 06:45:18,400
2024-09-03 06:45:31,401
2024-09-03 06:46:30,401
2024-09-03 06:48:17,401
2024-09-03 06:48:41,403
2024-09-03 06:49:34,403
2024-09-03 06:51:06,403
2024-09-03 06:52:01,406
2024-09-03 06:53:28,404
2024-09-03 06:54:24,403
2024-09-03 06:54:38,401
2024-09-03 06:56:10,402
2024-09-03 06:57:04,403
2024-09-03 06:57:48,406
2024-09-03 06:59:17,405
2024-09-03 06:59:45,403
2024-09-03 07:00:32,403
2024-09-03 07:01:49,404
2024-09-03 07:02:53,407
2024-09-03 07:04:23,407
2024-09-03 07:05:25,405
2024-09-03 07:06:02,405
2024-09-03 07:06:53,403
2024-09-03 07:08:21,409
2024-09-03 07:08:40,402
2024-09-03 07:10:18,408
2024-09-03 07:10:37,405
2024-09-03 07:12:05,405
2024-09-03 07:13:07,404
2024-09-03 07:14:09,411
2024-09-03 07:14:49,406
2024-09-03 07:16:04,407
2024-09-03 07:17:17,409
2024-09-03 07:17:54,406
2024-09-03 07:19:04,407
2024-09-03 07:19:54,408
2024-09-03 07:20:58,407
2024-09-03 07:21:47,410
2024-09-03 07:23:15,409
2024-09-03 07:23:47,407
2024-09-03 07:24:31,410
2024-09-03 07:26:23,411
2024-09-03 07:27:04,409
2024-09-03 07:27:45,409
2024-09-03 07:29:10,411
2024-09-03 07:30:05,414
2024-09-03 07:31:02,411
2024-09-03 07:31:33,415
2024-09-03 07:33:02,412
2024-09-03 07:33:43,416
2024-09-03 07:34:50,417
2024-09-03 07:36:17,421
2024-09-03 07:36:49,417
2024-09-03 07:38:25,420
2024-09-03 07:38:37,420
2024-09-03 07:39:36,419
2024-09-03 07:40:32,421
2024-09-03 07:41:46,426
2024-09-03 07:43:02,425
2024-09-03 07:44:17,426
2024-09-03 07:44:41,426
2024-09-03 07:46:28,430
2024-09-03 07:47:20,430
2024-09-03 07:47:51,432
2024-09-03 07:49:24,429
2024-09-03 07:49:51,430
2024-09-03 07:51:15,435
2024-09-03 07:51:59,435
2024-09-03 07:53:07,436
2024-09-03 07:54:07,433
2024-09-03 07:55:14,434
2024-09-03 07:56:20,438
2024-09-03 07:57:23,439
2024-09-03 07:57:37,435
2024-09-03 07:58:56,435
2024-09-03 07:59:56,439
2024-09-03 08:01:03,438
2024-09-03 08:01:50,439
2024-09-03 08:02:59,439
2024-09-03 08:04:02,441
2024-09-03 08:04:57,441
2024-09-03 08:06:16,442
2024-09-03 08:07:02,446
2024-09-03 08:07:34,448
2024-09-03 08:09:29,452
2024-09-03 08:10:17,454
2024-09-03 08:10:48,466
2024-09-03 08:11:33,479
2024-09-03 08:13:04,490
2024-09-03 08:14:18,510
2024-09-03 08:14:46,527
2024-09-03 08:16:13,541
2024-09-03 08:16:57,547
2024-09-03 08:17:59,555
2024-09-03 08:18:58,563
2024-09-03 08:20:15,570
2024-09-03 08:21:22,576
2024-09-03 08:21:35,586
2024-09-03 08:23:04,594
2024-09-03 08:24:29,607
2024-09-03 08:25:10,616
2024-09-03 08:26:06,622
2024-09-03 08:26:53,643
2024-09-03 08:27:58,645
2024-09-03 08:29:18,644
2024-09-03 08:30:15,645
2024-09-03 08:31:22,642
2024-09-03 08:32:00,643
2024-09-03 08:33:04,642
2024-09-03 08:34:29,637
2024-09-03 08:35:02,632
2024-09-03 08:36:21,637
2024-09-03 08:36:50,632
2024-09-03 08:38:01,631
2024-09-03 08:38:52,632
2024-09-03 08:40:02,629
2024-09-03 08:40:32,626
2024-09-03 08:41:47,625
2024-09-03 08:42:54,627
2024-09-03 08:44:11,627
2024-09-03 08:45:00,628
2024-09-03 08:46:23,629
2024-09-03 08:47:27,627
2024-09-03 08:47:32,625
2024-09-03 08:49:09,627
2024-09-03 08:50:15,626
2024-09-03 08:50:53,627
2024-09-03 08:52:19,628
2024-09-03 08:53:01,633
2024-09-03 08:54:16,642
2024-09-03 08:54:51,649
2024-09-03 08:55:52,654
2024-09-03 08:56:31,659
2024-09-03 08:57:56,664
2024-09-03 08:59:11,674
2024-09-03 08:59:31,673
2024-09-03 09:00:55,678
2024-09-03 09:01:46,680
2024-09-03 09:03:09,686
2024-09-03 09:04:02,688
2024-09-03 09:04:38,692
2024-09-03 09:06:12,693
2024-09-03 09:07:23,692
2024-09-03 09:08:17,691
2024-09-03 09:09:08,695
2024-09-03 09:09:58,693
2024-09-03 09:11:11,697
2024-09-03 09:12:24,692
2024-09-03 09:12:55,699
2024-09-03 09:14:04,698
2024-09-03 09:15:19,698
2024-09-03 09:15:54,693
2024-09-03 09:16:53,697
2024-09-03 09:17:42,700
2024-09-03 09:19:29,698
2024-09-03 09:20:27,699
2024-09-03 09:20:36,700
2024-09-03 09:22:26,704
2024-09-03 09:23:05,705
2024-09-03 09:24:14,711
2024-09-03 09:24:49,709
2024-09-03 09:25:30,709
2024-09-03 09:26:37,708
2024-09-03 09:28:15,713
2024-09-03 09:28:45,713
2024-09-03 09:29:43,711
2024-09-03 09:30:41,709
2024-09-03 09:32:20,714
2024-09-03 09:32:52,711
2024-09-03 09:33:44,710
2024-09-03 09:34:57,710
2024-09-03 09:36:03,704
2024-09-03 09:36:31,703
2024-09-03 09:38:01,702
2024-09-03 09:38:52,705
2024-09-03 09:39:51,706
2024-09-03 09:41:20,706
2024-09-03 09:41:54,709
2024-09-03 09:43:27,708
2024-09-03 09:43:51,706
2024-09-03 09:45:27,705
2024-09-03 09:46:27,705
2024-09-03 09:46:51,699
2024-09-03 09:48:18,696
2024-09-03 09:49:21,687
2024-09-03 09:50:11,676
2024-09-03 09:50:35,667
2024-09-03 09:51:44,657
2024-09-03 09:53:23,656
2024-09-03 09:54:12,648
2024-09-03 09:55:29,641
2024-09-03 09:56:06,629
2024-09-03 09:57:02,628
2024-09-03 09:57:37,619
2024-09-03 09:59:22,613
2024-09-03 10:00:29,607
2024-09-03 10:01:13,600
2024-09-03 10:02:13,601
2024-09-03 10:02:34,597
2024-09-03 10:04:08,590
2024-09-03 10:04:33,587
2024-09-03 10:05:35,586
2024-09-03 10:07:14,586
2024-09-03 10:08:01,584
2024-09-03 10:09:21,584
2024-09-03 10:09:59,584
2024-09-03 10:11:16,586
2024-09-03 10:12:04,584
2024-09-03 10:13:24,581
2024-09-03 10:14:09,585
2024-09-03 10:15:21,582
2024-09-03 10:15:45,587
2024-09-03 10:16:42,586
2024-09-03 10:18:19,586
2024-09-03 10:19:29,581
2024-09-03 10:20:11,586
2024-09-03 10:20:59,582
2024-09-03 10:21:48,584
2024-09-03 10:22:46,579
2024-09-03 10:24:25,578
2024-09-03 10:24:48,580
2024-09-03 10:25:57,578
2024-09-03 10:27:27,580
2024-09-03 10:28:24,576
2024-09-03 10:28:55,578
2024-09-03 10:30:06,577
2024-09-03 10:30:55,575
2024-09-03 10:32:22,576
2024-09-03 10:32:52,573
2024-09-03 10:33:38,579
2024-09-03 10:34:41,569
2024-09-03 10:36:22,574
2024-09-03 10:36:30,569
2024-09-03 10:38:27,573
2024-09-03 10:39:27,573
2024-09-03 10:39:30,576
2024-09-03 10:41:16,571
2024-09-03 10:42:03,575
2024-09-03 10:43:01,569
2024-09-03 10:44:23,574
2024-09-03 10:45:17,570
2024-09-03 10:45:54,570
2024-09-03 10:47:09,569
2024-09-03 10:48:14,573
2024-09-03 10:49:22,571
2024-09-03 10:49:30,570
2024-09-03 10:50:45,567
2024-09-03 10:52:08,567
2024-09-03 10:52:34,565
2024-09-03 10:53:51,563
2024-09-03 10:54:58,569
2024-09-03 10:56:24,565
2024-09-03 10:56:32,565
2024-09-03 10:57:41,569
2024-09-03 10:58:55,565
2024-09-03 10:59:45,564
2024-09-03 11:01:20,567
2024-09-03 11:02:06,565
2024-09-03 11:02:51,568
2024-09-03 11:04:26,566
2024-09-03 11:04:58,567
2024-09-03 11:05:43,567
2024-09-03 11:06:57,568
2024-09-03 11:07:34,569
2024-09-03 11:09:16,569
2024-09-03 11:10:18,570
2024-09-03 11:10:59,572
2024-09-03 11:12:15,574
2024-09-03 11:13:21,574
2024-09-03 11:13:34,574
2024-09-03 11:14:41,578
2024-09-03 11:15:45,577
2024-09-03 11:16:55,577
2024-09-03 11:17:55,579
2024-09-03 11:19:17,577
2024-09-03 11:19:50,575
2024-09-03 11:21:08,579
2024-09-03 11:22:05,577
2024-09-03 11:23:02,580
2024-09-03 11:23:59,578
2024-09-03 11:25:06,580
2024-09-03 11:25:52,578
2024-09-03 11:27:27,579
2024-09-03 11:27:39,582
2024-09-03 11:29:23,579
2024-09-03 11:29:34,579
2024-09-03 11:31:05,583
2024-09-03 11:32:03,584
2024-09-03 11:33:21,581
2024-09-03 11:34:00,579
2024-09-03 11:34:39,582
2024-09-03 11:36:27,585
2024-09-03 11:36:48,587
2024-09-03 11:38:27,597
2024-09-03 11:39:01,607
2024-09-03 11:39:30,614
2024-09-03 11:41:25,624
2024-09-03 11:41:34,632
2024-09-03 11:43:14,633
2024-09-03 11:43:33,645
2024-09-03 11:44:45,647
2024-09-03 11:45:53,655
2024-09-03 11:46:45,661
2024-09-03 11:48:24,664
2024-09-03 11:48:31,669
2024-09-03 11:50:18,677
2024-09-03 11:50:57,682
2024-09-03 11:52:01,692
2024-09-03 11:52:56,690
2024-09-03 11:53:49,696
2024-09-03 11:54:53,691
2024-09-03 11:55:41,692
2024-09-03 11:57:19,685
2024-09-03 11:58:04,686
2024-09-03 11:59:29,683
2024-09-03 12:00:02,681
2024-09-03 12:01:02,680
2024-09-03 12:02:20,673
2024-09-03 12:03:12,664
2024-09-03 12:04:06,661
2024-09-03 12:04:41,650
2024-09-03 12:05:32,646
2024-09-03 12:06:30,639
2024-09-03 12:08:02,629
2024-09-03 12:09:09,627
2024-09-03 12:09:39,621
2024-09-03 12:11:12,613
2024-09-03 12:12:13,610
2024-09-03 12:12:58,600
2024-09-03 12:13:42,597
2024-09-03 12:14:41,596
2024-09-03 12:16:00,595
2024-09-03 12:17:15,593
2024-09-03 12:17:31,591
2024-09-03 12:19:20,589
2024-09-03 12:20:19,587
2024-09-03 12:21:04,584
2024-09-03 12:21:52,584
2024-09-03 12:22:46,590
2024-09-03 12:23:55,582
2024-09-03 12:24:37,582
2024-09-03 12:25:58,585
2024-09-03 12:26:55,582
2024-09-03 12:27:39,584
2024-09-03 12:28:55,584
2024-09-03 12:30:03,586
2024-09-03 12:31:20,584
2024-09-03 12:32:10,585
2024-09-03 12:32:36,583
2024-09-03 12:33:33,585
2024-09-03 12:35:27,583
2024-09-03 12:36:22,584
2024-09-03 12:37:19,587
2024-09-03 12:38:14,587
2024-09-03 12:38:40,588
2024-09-03 12:39:58,588
2024-09-03 12:41:25,587
2024-09-03 12:42:05,582
2024-09-03 12:42:54,590
2024-09-03 12:43:50,588
2024-09-03 12:45:26,584
2024-09-03 12:46:05,587
2024-09-03 12:46:39,585
2024-09-03 12:48:06,588
2024-09-03 12:48:38,584
2024-09-03 12:49:53,585
2024-09-03 12:51:04,587
2024-09-03 12:52:18,588
2024-09-03 12:53:04,587
2024-09-03 12:54:17,585
2024-09-03 12:55:05,584
2024-09-03 12:55:47,592
2024-09-03 12:57:18,603
2024-09-03 12:58:08,611
2024-09-03 12:59:01,622
2024-09-03 12:59:53,631
2024-09-03 13:00:52,642
2024-09-03 13:02:01,660
2024-09-03 13:03:06,672
2024-09-03 13:03:41,681
2024-09-03 13:05:18,682
2024-09-03 13:06:24,697
2024-09-03 13:06:42,699
2024-09-03 13:07:52,705
2024-09-03 13:08:54,707
2024-09-03 13:10:04,712
2024-09-03 13:11:10,717
2024-09-03 13:11:59,715
2024-09-03 13:12:46,721
2024-09-03 13:14:18,723
2024-09-03 13:14:49,721
2024-09-03 13:16:17,722
2024-09-03 13:16:54,716
2024-09-03 13:17:51,712
2024-09-03 13:18:42,713
2024-09-03 13:20:28,714
2024-09-03 13:20:48,721
2024-09-03 13:22:18,725
2024-09-03 13:23:05,724
2024-09-03 13:23:41,730
2024-09-03 13:25:10,738
2024-09-03 13:25:48,748
2024-09-03 13:26:41,753
2024-09-03 13:27:38,756
2024-09-03 13:28:36,762
2024-09-03 13:29:57,768
2024-09-03 13:30:43,769
2024-09-03 13:32:00,777
2024-09-03 13:33:21,781
2024-09-03 13:33:48,781
2024-09-03 13:35:27,779
2024-09-03 13:36:16,781
2024-09-03 13:36:45,788
2024-09-03 13:38:22,787
2024-09-03 13:38:34,793
2024-09-03 13:40:04,795
2024-09-03 13:40:41,791
2024-09-03 13:41:54,792
2024-09-03 13:43:21,794
2024-09-03 13:44:28,791
2024-09-03 13:44:50,791
2024-09-03 13:46:05,792
2024-09-03 13:47:22,791
2024-09-03 13:47:52,793
2024-09-03 13:48:45,798
2024-09-03 13:50:26,791
2024-09-03 13:51:08,787
2024-09-03 13:52:14,791
2024-09-03 13:53:22,784
2024-09-03 13:54:11,781
2024-09-03 13:55:27,781
2024-09-03 13:56:08,779
2024-09-03 13:56:43,778
2024-09-03 13:58:00,779
2024-09-03 13:59:27,779
2024-09-03 13:59:34,778
2024-09-03 14:01:04,773
2024-09-03 14:01:52,770
2024-09-03 14:02:58,771
2024-09-03 14:04:12,766
2024-09-03 14:04:40,763
2024-09-03 14:05:47,768
2024-09-03 14:07:16,768
2024-09-03 14:07:41,761
2024-09-03 14:08:38,760
2024-09-03 14:09:39,758
2024-09-03 14:11:27,761
2024-09-03 14:12:13,764
2024-09-03 14:12:46,762
2024-09-03 14:14:07,764
2024-09-03 14:14:36,762
2024-09-03 14:16:15,757
2024-09-03 14:16:42,756
2024-09-03 14:18:09,752
2024-09-03 14:19:11,752
2024-09-03 14:19:38,747
2024-09-03 14:21:19,745
2024-09-03 14:21:56,750
2024-09-03 14:23:27,749
2024-09-03 14:23:31,747
2024-09-03 14:24:34,751
2024-09-03 14:25:58,761
2024-09-03 14:27:06,755
2024-09-03 14:28:07,754
2024-09-03 14:28:48,757
2024-09-03 14:29:37,762
2024-09-03 14:31:17,769
2024-09-03 14:32:14,770
2024-09-03 14:32:30,770
2024-09-03 14:33:51,779
2024-09-03 14:35:21,774
2024-09-03 14:35:46,771
2024-09-03 14:36:36,770
2024-09-03 14:37:54,775
2024-09-03 14:39:14,774
2024-09-03 14:39:33,776
2024-09-03 14:41:05,778
2024-09-03 14:41:35,774
2024-09-03 14:43:29,779
2024-09-03 14:44:00,775
2024-09-03 14:44:48,781
2024-09-03 14:46:13,778
2024-09-03 14:47:23,775
2024-09-03 14:48:08,773
2024-09-03 14:48:56,779
2024-09-03 14:49:39,778
2024-09-03 14:50:55,780
2024-09-03 14:51:48,783
2024-09-03 14:53:08,786
2024-09-03 14:53:32,789
2024-09-03 14:55:14,790
2024-09-03 14:55:42,795
2024-09-03 14:57:19,793
2024-09-03 14:57:57,790
2024-09-03 14:59:27,795
2024-09-03 14:59:49,796
2024-09-03 15:00:57,792
2024-09-03 15:01:37,793
2024-09-03 15:03:10,793
2024-09-03 15:04:08,790
2024-09-03 15:04:30,787
2024-09-03 15:05:32,782
2024-09-03 15:06:42,777
2024-09-03 15:07:57,761
2024-09-03 15:09:26,751
2024-09-03 15:10:29,732
2024-09-03 15:11:18,712
2024-09-03 15:11:54,695
2024-09-03 15:13:25,679
2024-09-03 15:14:02,668
2024-09-03 15:15:07,651
2024-09-03 15:16:22,646
2024-09-03 15:16:35,631
2024-09-03 15:18:27,627
2024-09-03 15:19:13,619
2024-09-03 15:20:14,618
2024-09-03 15:21:01,609
2024-09-03 15:22:14,602
2024-09-03 15:23:16,604
2024-09-03 15:23:50,593
2024-09-03 15:24:45,588
2024-09-03 15:26:23,582
2024-09-03 15:26:50,579
2024-09-03 15:27:40,573
2024-09-03 15:29:29,573
2024-09-03 15:30:06,568
2024-09-03 15:31:05,562
2024-09-03 15:32:04,561
2024-09-03 15:32:48,557
2024-09-03 15:33:49,550
2024-09-03 15:35:26,555
2024-09-03 15:35:47,551
2024-09-03 15:37:16,551
2024-09-03 15:38:10,544
2024-09-03 15:39:18,540
2024-09-03 15:39:43,542
2024-09-03 15:40:44,542
2024-09-03 15:42:00,537
2024-09-03 15:42:30,537
2024-09-03 15:44:22,537
2024-09-03 15:45:23,531
2024-09-03 15:46:23,531
2024-09-03 15:46:32,532
2024-09-03 15:47:45,533
2024-09-03 15:48:52,531
2024-09-03 15:50:26,530
2024-09-03 15:50:40,526
2024-09-03 15:51:41,529
2024-09-03 15:52:39,527
2024-09-03 15:54:01,525
2024-09-03 15:54:45,527
2024-09-03 15:55:37,525
2024-09-03 15:57:07,521
2024-09-03 15:57:41,522
2024-09-03 15:58:53,520
2024-09-03 15:59:57,523
2024-09-03 16:01:22,518
2024-09-03 16:01:37,516
2024-09-03 16:03:27,517
2024-09-03 16:03:57,518
2024-09-03 16:05:05,514
2024-09-03 16:05:55,513
2024-09-03 16:06:37,517
2024-09-03 16:08:27,515
2024-09-03 16:09:29,513
2024-09-03 16:10:19,512
2024-09-03 16:10:57,518
2024-09-03 16:11:57,516
2024-09-03 16:13:06,515
2024-09-03 16:14:10,516
2024-09-03 16:15:05,515
2024-09-03 16:15:56,511
2024-09-03 16:17:23,509
2024-09-03 16:17:46,513
2024-09-03 16:18:38,514
2024-09-03 16:20:02,514
2024-09-03 16:21:22,510
2024-09-03 16:21:49,514
2024-09-03 16:22:42,510
2024-09-03 16:23:57,512
2024-09-03 16:25:17,509
2024-09-03 16:25:58,503
2024-09-03 16:26:42,506
2024-09-03 16:28:15,501
2024-09-03 16:29:04,500
2024-09-03 16:29:35,492
